REGION,FUEL,YEAR,VALUE
GLOBAL,ELCAUTXX02,2015,271.295928
GLOBAL,ELCAUTXX02,2016,271.295928
GLOBAL,ELCAUTXX02,2017,271.295928
GLOBAL,ELCAUTXX02,2018,271.295928
GLOBAL,ELCAUTXX02,2019,271.295928
GLOBAL,ELCAUTXX02,2020,271.295928
GLOBAL,ELCAUTXX02,2021,271.295928
GLOBAL,ELCAUTXX02,2022,271.295928
GLOBAL,ELCAUTXX02,2023,271.295928
GLOBAL,ELCAUTXX02,2024,271.295928
GLOBAL,ELCAUTXX02,2025,271.295928
GLOBAL,ELCAUTXX02,2026,274.0574304
GLOBAL,ELCAUTXX02,2027,276.81893279999997
GLOBAL,ELCAUTXX02,2028,279.58043519999995
GLOBAL,ELCAUTXX02,2029,282.34193759999994
GLOBAL,ELCAUTXX02,2030,285.10344
GLOBAL,ELCAUTXX02,2031,288.8048448
GLOBAL,ELCAUTXX02,2032,292.5062496
GLOBAL,ELCAUTXX02,2033,296.20765439999997
GLOBAL,ELCAUTXX02,2034,299.9090592
GLOBAL,ELCAUTXX02,2035,303.61046400000004
GLOBAL,ELCAUTXX02,2036,307.3010544
GLOBAL,ELCAUTXX02,2037,310.9916448
GLOBAL,ELCAUTXX02,2038,314.6822352
GLOBAL,ELCAUTXX02,2039,318.37282559999994
GLOBAL,ELCAUTXX02,2040,322.06341599999996
GLOBAL,ELCAUTXX02,2041,325.70385839999994
GLOBAL,ELCAUTXX02,2042,329.3443008
GLOBAL,ELCAUTXX02,2043,332.9847432
GLOBAL,ELCAUTXX02,2044,336.6251856
GLOBAL,ELCAUTXX02,2045,340.265628
GLOBAL,ELCAUTXX02,2046,343.6885224
GLOBAL,ELCAUTXX02,2047,347.11141680000003
GLOBAL,ELCAUTXX02,2048,350.5343112
GLOBAL,ELCAUTXX02,2049,353.95720559999995
GLOBAL,ELCAUTXX02,2050,357.38009999999997
GLOBAL,ELCBELXX02,2015,550.820268
GLOBAL,ELCBELXX02,2016,554.586948
GLOBAL,ELCBELXX02,2017,558.3536280000001
GLOBAL,ELCBELXX02,2018,562.120308
GLOBAL,ELCBELXX02,2019,565.8869880000001
GLOBAL,ELCBELXX02,2020,569.653668
GLOBAL,ELCBELXX02,2021,573.6550104
GLOBAL,ELCBELXX02,2022,577.6563527999999
GLOBAL,ELCBELXX02,2023,581.6576951999999
GLOBAL,ELCBELXX02,2024,585.6590375999999
GLOBAL,ELCBELXX02,2025,589.6603799999999
GLOBAL,ELCBELXX02,2026,593.8834823999999
GLOBAL,ELCBELXX02,2027,598.1065848
GLOBAL,ELCBELXX02,2028,602.3296872
GLOBAL,ELCBELXX02,2029,606.5527896
GLOBAL,ELCBELXX02,2030,610.775892
GLOBAL,ELCBELXX02,2031,615.0032568
GLOBAL,ELCBELXX02,2032,619.2306216
GLOBAL,ELCBELXX02,2033,623.4579864
GLOBAL,ELCBELXX02,2034,627.6853511999999
GLOBAL,ELCBELXX02,2035,631.9127159999999
GLOBAL,ELCBELXX02,2036,636.0407352
GLOBAL,ELCBELXX02,2037,640.1687544
GLOBAL,ELCBELXX02,2038,644.2967735999999
GLOBAL,ELCBELXX02,2039,648.4247928000001
GLOBAL,ELCBELXX02,2040,652.552812
GLOBAL,ELCBELXX02,2041,656.5680504000001
GLOBAL,ELCBELXX02,2042,660.5832888
GLOBAL,ELCBELXX02,2043,664.5985272
GLOBAL,ELCBELXX02,2044,668.6137656
GLOBAL,ELCBELXX02,2045,672.629004
GLOBAL,ELCBELXX02,2046,676.4650992
GLOBAL,ELCBELXX02,2047,680.3011944
GLOBAL,ELCBELXX02,2048,684.1372896
GLOBAL,ELCBELXX02,2049,687.9733848
GLOBAL,ELCBELXX02,2050,691.8094799999999
GLOBAL,ELCBGRXX02,2015,193.21617600000002
GLOBAL,ELCBGRXX02,2016,194.88893760000002
GLOBAL,ELCBGRXX02,2017,196.5616992
GLOBAL,ELCBGRXX02,2018,198.23446080000002
GLOBAL,ELCBGRXX02,2019,199.9072224
GLOBAL,ELCBGRXX02,2020,201.579984
GLOBAL,ELCBGRXX02,2021,203.0801112
GLOBAL,ELCBGRXX02,2022,204.58023839999998
GLOBAL,ELCBGRXX02,2023,206.0803656
GLOBAL,ELCBGRXX02,2024,207.5804928
GLOBAL,ELCBGRXX02,2025,209.08061999999998
GLOBAL,ELCBGRXX02,2026,210.5483328
GLOBAL,ELCBGRXX02,2027,212.01604559999998
GLOBAL,ELCBGRXX02,2028,213.4837584
GLOBAL,ELCBGRXX02,2029,214.9514712
GLOBAL,ELCBGRXX02,2030,216.419184
GLOBAL,ELCBGRXX02,2031,217.8487872
GLOBAL,ELCBGRXX02,2032,219.2783904
GLOBAL,ELCBGRXX02,2033,220.70799359999998
GLOBAL,ELCBGRXX02,2034,222.13759679999998
GLOBAL,ELCBGRXX02,2035,223.56719999999999
GLOBAL,ELCBGRXX02,2036,224.890056
GLOBAL,ELCBGRXX02,2037,226.212912
GLOBAL,ELCBGRXX02,2038,227.53576800000002
GLOBAL,ELCBGRXX02,2039,228.85862400000002
GLOBAL,ELCBGRXX02,2040,230.18148
GLOBAL,ELCBGRXX02,2041,231.4759032
GLOBAL,ELCBGRXX02,2042,232.7703264
GLOBAL,ELCBGRXX02,2043,234.0647496
GLOBAL,ELCBGRXX02,2044,235.3591728
GLOBAL,ELCBGRXX02,2045,236.653596
GLOBAL,ELCBGRXX02,2046,237.8037888
GLOBAL,ELCBGRXX02,2047,238.9539816
GLOBAL,ELCBGRXX02,2048,240.1041744
GLOBAL,ELCBGRXX02,2049,241.2543672
GLOBAL,ELCBGRXX02,2050,242.40456
GLOBAL,ELCBIHXX02,2015,48.6
GLOBAL,ELCBIHXX02,2016,48.6
GLOBAL,ELCBIHXX02,2017,48.6
GLOBAL,ELCBIHXX02,2018,48.6
GLOBAL,ELCBIHXX02,2019,48.6
GLOBAL,ELCBIHXX02,2020,48.6
GLOBAL,ELCBIHXX02,2021,48.6
GLOBAL,ELCBIHXX02,2022,48.6
GLOBAL,ELCBIHXX02,2023,48.6
GLOBAL,ELCBIHXX02,2024,48.6
GLOBAL,ELCBIHXX02,2025,48.6
GLOBAL,ELCBIHXX02,2026,49.527086399999995
GLOBAL,ELCBIHXX02,2027,50.4541728
GLOBAL,ELCBIHXX02,2028,51.3812592
GLOBAL,ELCBIHXX02,2029,52.3083456
GLOBAL,ELCBIHXX02,2030,53.235432
GLOBAL,ELCBIHXX02,2031,54.691732800000004
GLOBAL,ELCBIHXX02,2032,56.1480336
GLOBAL,ELCBIHXX02,2033,57.6043344
GLOBAL,ELCBIHXX02,2034,59.0606352
GLOBAL,ELCBIHXX02,2035,60.516935999999994
GLOBAL,ELCBIHXX02,2036,61.806672
GLOBAL,ELCBIHXX02,2037,63.096408
GLOBAL,ELCBIHXX02,2038,64.386144
GLOBAL,ELCBIHXX02,2039,65.67587999999999
GLOBAL,ELCBIHXX02,2040,66.965616
GLOBAL,ELCBIHXX02,2041,68.0886432
GLOBAL,ELCBIHXX02,2042,69.2116704
GLOBAL,ELCBIHXX02,2043,70.3346976
GLOBAL,ELCBIHXX02,2044,71.4577248
GLOBAL,ELCBIHXX02,2045,72.580752
GLOBAL,ELCBIHXX02,2046,73.49976
GLOBAL,ELCBIHXX02,2047,74.418768
GLOBAL,ELCBIHXX02,2048,75.33777599999999
GLOBAL,ELCBIHXX02,2049,76.25678400000001
GLOBAL,ELCBIHXX02,2050,77.175792
GLOBAL,ELCCHEXX02,2015,260.087184
GLOBAL,ELCCHEXX02,2016,264.7639728
GLOBAL,ELCCHEXX02,2017,269.44076160000003
GLOBAL,ELCCHEXX02,2018,274.11755039999997
GLOBAL,ELCCHEXX02,2019,278.7943392
GLOBAL,ELCCHEXX02,2020,283.47112799999996
GLOBAL,ELCCHEXX02,2021,288.046908
GLOBAL,ELCCHEXX02,2022,292.622688
GLOBAL,ELCCHEXX02,2023,297.19846799999993
