REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOAAFG,1,2015,2.0549062021684477
GLOBAL,MINCOAAGO,1,2015,2.0549062021684477
GLOBAL,MINCOAALB,1,2015,2.0549062021684477
GLOBAL,MINCOAARE,1,2015,2.0549062021684477
GLOBAL,MINCOAARG,1,2015,2.0549062021684477
GLOBAL,MINCOAARM,1,2015,2.0549062021684477
GLOBAL,MINCOAATA,1,2015,2.0549062021684477
GLOBAL,MINCOAAUS,1,2015,2.0549062021684477
GLOBAL,MINCOAAUT,1,2015,2.0549062021684477
GLOBAL,MINCOAAZE,1,2015,2.0549062021684477
GLOBAL,MINCOABDI,1,2015,2.0549062021684477
GLOBAL,MINCOABEL,1,2015,2.0549062021684477
GLOBAL,MINCOABEN,1,2015,2.0549062021684477
GLOBAL,MINCOABFA,1,2015,2.0549062021684477
GLOBAL,MINCOABGD,1,2015,2.0549062021684477
GLOBAL,MINCOABGR,1,2015,2.0549062021684477
GLOBAL,MINCOABHR,1,2015,2.0549062021684477
GLOBAL,MINCOABIH,1,2015,2.0549062021684477
GLOBAL,MINCOABLR,1,2015,2.0549062021684477
GLOBAL,MINCOABLZ,1,2015,2.0549062021684477
GLOBAL,MINCOABOL,1,2015,2.0549062021684477
GLOBAL,MINCOABRA,1,2015,2.0549062021684477
GLOBAL,MINCOABRN,1,2015,2.0549062021684477
GLOBAL,MINCOABTN,1,2015,2.0549062021684477
GLOBAL,MINCOABWA,1,2015,2.0549062021684477
GLOBAL,MINCOACAF,1,2015,2.0549062021684477
GLOBAL,MINCOACAN,1,2015,2.0549062021684477
GLOBAL,MINCOACHE,1,2015,2.0549062021684477
GLOBAL,MINCOACHL,1,2015,2.0549062021684477
GLOBAL,MINCOACHN,1,2015,2.0549062021684477
GLOBAL,MINCOACIV,1,2015,2.0549062021684477
GLOBAL,MINCOACMR,1,2015,2.0549062021684477
GLOBAL,MINCOACOD,1,2015,2.0549062021684477
GLOBAL,MINCOACOG,1,2015,2.0549062021684477
GLOBAL,MINCOACOL,1,2015,2.0549062021684477
GLOBAL,MINCOACPV,1,2015,2.0549062021684477
GLOBAL,MINCOACRI,1,2015,2.0549062021684477
GLOBAL,MINCOACUB,1,2015,2.0549062021684477
GLOBAL,MINCOACYP,1,2015,2.0549062021684477
GLOBAL,MINCOACZE,1,2015,2.0549062021684477
GLOBAL,MINCOADEU,1,2015,2.0549062021684477
GLOBAL,MINCOADJI,1,2015,2.0549062021684477
GLOBAL,MINCOADNK,1,2015,2.0549062021684477
GLOBAL,MINCOADOM,1,2015,2.0549062021684477
GLOBAL,MINCOADZA,1,2015,2.0549062021684477
GLOBAL,MINCOAECU,1,2015,2.0549062021684477
GLOBAL,MINCOAEGY,1,2015,2.0549062021684477
GLOBAL,MINCOAERI,1,2015,2.0549062021684477
GLOBAL,MINCOAESH,1,2015,2.0549062021684477
GLOBAL,MINCOAESP,1,2015,2.0549062021684477
GLOBAL,MINCOAEST,1,2015,2.0549062021684477
GLOBAL,MINCOAETH,1,2015,2.0549062021684477
GLOBAL,MINCOAFIN,1,2015,2.0549062021684477
GLOBAL,MINCOAFJI,1,2015,2.0549062021684477
GLOBAL,MINCOAFRA,1,2015,2.0549062021684477
GLOBAL,MINCOAGAB,1,2015,2.0549062021684477
GLOBAL,MINCOAGBR,1,2015,2.0549062021684477
